country,cannot_build
AAC,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AAD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AAI,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AAL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AAR,apothecary elephant_hunting_grounds lacquerware_guild porcelain_guild
ABA,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ABV,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ABW,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ACA,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
ACH,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ACO,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters paper_guild porcelain_guild scriptorium
ADG,elephant_hunting_grounds lacquerware_guild porcelain_guild
ADH,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ADO,RGO_building_alum RGO_building_coal RGO_building_iron RGO_building_saltpeter bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
AFA,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AGC,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AGH,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AGN,elephant_hunting_grounds lacquerware_guild porcelain_guild
AHI,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AHO,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AHU,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
AHY,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AID,apothecary elephant_hunting_grounds lacquerware_guild porcelain_guild
AJC,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
AJU,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AKR,RGO_building_alum RGO_building_coal RGO_building_iron RGO_building_saltpeter bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
ALB,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ALE,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ALI,elephant_hunting_grounds lacquerware_guild porcelain_guild
ALL,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ALN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ALO,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ALS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ALU,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ALY,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AMA,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AMD,apothecary elephant_hunting_grounds lacquerware_guild porcelain_guild
AME,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
AMG,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AMH,apothecary elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AML,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
AMP,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
AMR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AMT,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
ANB,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ANC,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ANG,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ANH,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ANI,RGO_building_alum RGO_building_coal RGO_building_horses RGO_building_iron RGO_building_saltpeter apothecary bog_iron_smelter elephant_hunting_grounds hand_cannon_guild lacquerware_guild local_smelters porcelain_guild
ANJ,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ANN,apothecary elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ANR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ANS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ANT,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ANZ,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AOS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
APD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
APR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AQN,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
AQU,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ARA,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ARB,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ARD,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ARG,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ARK,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ARM,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ARR,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ARS,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ART,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ARU,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
ASC,elephant_hunting_grounds hand_cannon_guild lacquerware_guild porcelain_guild
