location,has_owner,owner,raw_material,is_coastal,has_river,river_size_1,river_size_2,river_size_3,river_size_4,river_size_5,adjacent_to_lake,development,population,pop_burghers,pop_clergy,pop_laborers,pop_nobles,pop_peasants,pop_slaves,pop_soldiers,pop_tribesmen,main_rgo_max_level,topography,vegetation,climate,location_rank,river,max_level_RGO_building_alum,level_RGO_building_alum,max_level_RGO_building_amber,level_RGO_building_amber,max_level_RGO_building_bad_sand,level_RGO_building_bad_sand,max_level_RGO_building_beeswax,level_RGO_building_beeswax,max_level_RGO_building_chili,level_RGO_building_chili,max_level_RGO_building_clay,level_RGO_building_clay,max_level_RGO_building_cloves,level_RGO_building_cloves,max_level_RGO_building_coal,level_RGO_building_coal,max_level_RGO_building_cocoa,level_RGO_building_cocoa,max_level_RGO_building_coffee,level_RGO_building_coffee,max_level_RGO_building_copper,level_RGO_building_copper,max_level_RGO_building_cotton,level_RGO_building_cotton,max_level_RGO_building_dyes,level_RGO_building_dyes,max_level_RGO_building_elephants,level_RGO_building_elephants,max_level_RGO_building_fiber_crops,level_RGO_building_fiber_crops,max_level_RGO_building_fish,level_RGO_building_fish,max_level_RGO_building_fruit,level_RGO_building_fruit,max_level_RGO_building_fur,level_RGO_building_fur,max_level_RGO_building_gems,level_RGO_building_gems,max_level_RGO_building_goods_gold,level_RGO_building_goods_gold,max_level_RGO_building_horses,level_RGO_building_horses,max_level_RGO_building_incense,level_RGO_building_incense,max_level_RGO_building_iron,level_RGO_building_iron,max_level_RGO_building_ivory,level_RGO_building_ivory,max_level_RGO_building_lead,level_RGO_building_lead,max_level_RGO_building_legumes,level_RGO_building_legumes,max_level_RGO_building_livestock,level_RGO_building_livestock,max_level_RGO_building_lumber,level_RGO_building_lumber,max_level_RGO_building_marble,level_RGO_building_marble,max_level_RGO_building_medicaments,level_RGO_building_medicaments,max_level_RGO_building_mercury,level_RGO_building_mercury,max_level_RGO_building_olives,level_RGO_building_olives,max_level_RGO_building_pearls,level_RGO_building_pearls,max_level_RGO_building_pepper,level_RGO_building_pepper,max_level_RGO_building_saffron,level_RGO_building_saffron,max_level_RGO_building_salt,level_RGO_building_salt,max_level_RGO_building_saltpeter,level_RGO_building_saltpeter,max_level_RGO_building_sand,level_RGO_building_sand,max_level_RGO_building_silk,level_RGO_building_silk,max_level_RGO_building_silver,level_RGO_building_silver,max_level_RGO_building_stone,level_RGO_building_stone,max_level_RGO_building_sugar,level_RGO_building_sugar,max_level_RGO_building_tea,level_RGO_building_tea,max_level_RGO_building_tin,level_RGO_building_tin,max_level_RGO_building_tobacco,level_RGO_building_tobacco,max_level_RGO_building_wheat,level_RGO_building_wheat,max_level_RGO_building_wild_game,level_RGO_building_wild_game,max_level_RGO_building_wine,level_RGO_building_wine,max_level_RGO_building_wool,level_RGO_building_wool,max_level_apothecary,level_apothecary,max_level_bog_iron_smelter,level_bog_iron_smelter,max_level_brewery,level_brewery,max_level_charcoal_maker,level_charcoal_maker,max_level_clay_pit,level_clay_pit,max_level_cloth_guild,level_cloth_guild,max_level_distillers_guild,level_distillers_guild,max_level_dyes_guild,level_dyes_guild,max_level_elephant_hunting_grounds,level_elephant_hunting_grounds,max_level_farming_village,level_farming_village,max_level_fiber_crops_farm,level_fiber_crops_farm,max_level_fine_cloth_guild,level_fine_cloth_guild,max_level_fishing_village,level_fishing_village,max_level_forest_village,level_forest_village,max_level_fruit_orchard,level_fruit_orchard,max_level_furniture_guild,level_furniture_guild,max_level_glass_guild,level_glass_guild,max_level_hand_cannon_guild,level_hand_cannon_guild,max_level_horse_breeders,level_horse_breeders,max_level_jewelry_guild,level_jewelry_guild,max_level_lacquerware_guild,level_lacquerware_guild,max_level_lumber_mill,level_lumber_mill,max_level_market_village,level_market_village,max_level_marketplace,level_marketplace,max_level_mason,level_mason,max_level_naval_supplies_guild,level_naval_supplies_guild,max_level_paper_guild,level_paper_guild,max_level_porcelain_guild,level_porcelain_guild,max_level_pottery_guild,level_pottery_guild,max_level_provisions_market,level_provisions_market,max_level_rural_clothmaker,level_rural_clothmaker,max_level_rural_glassmaker,level_rural_glassmaker,max_level_salt_collector,level_salt_collector,max_level_sand_pit,level_sand_pit,max_level_scriptorium,level_scriptorium,max_level_sheep_farms,level_sheep_farms,max_level_stone_quarry,level_stone_quarry,max_level_tannery,level_tannery,max_level_tar_kiln,level_tar_kiln,max_level_tools_guild,level_tools_guild,max_level_urban_amenities,level_urban_amenities,max_level_victualling_house,level_victualling_house,max_level_weapon_guild,level_weapon_guild,max_level_winery,level_winery,max_level_local_smelters,level_local_smelters,max_level_saltpeter_guild,level_saltpeter_guild,max_level_sawmill,level_sawmill,max_level_windmill,level_windmill
stockholm,yes,SWE,clay,1,0,0,0,0,0,0,1,19.75,21.8207,1.40029,0.47099,0.70018,0.21865,18.43047,0,0.60012,0,4.83146,flatland,grasslands,hemiboreal_climate,town,none,,,,,1.51426,,1.51426,,,,4.83146,,,,,,,,,,,,,,,,,,,,1.51426,,1.51426,,,,,,,,,,,,,,,,,,,,1.51426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.51426,,,,,,1.51426,,4.06603,,2,,4.06603,1,,,,,4.06603,1,4.06603,,4.06603,,,,,,1.51426,,4.06603,,,,,,,,4.06603,,4.06603,,1,,,,4.06603,,4.06603,,,,,,5.06603,3,4.06603,1,4.06603,1,4.06603,,4.06603,,4.06603,1,4.06603,,,,,,2.21924,,,,4.06603,,,,,,4.06603,3,,,4.06603,1,5.83364,,7.02853,,4.06603,1,4.06603,,,,,,,,,
norrtalje,yes,SWE,fish,1,0,0,0,0,0,0,0,11,12.77276,0,0.06386,0,0.03192,12.67698,0,0,0,5.70195,flatland,forest,hemiboreal_climate,rural_settlement,none,,,,,1.7871,,,,,,1.7871,,,,,,,,,,,,,,,,,,,,5.70195,,,,,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,,,,,2.73863,,,,,,,,,,,,,,,,,,2.73863,,2.73863,,,,,,,,,,,,,,,,,,2.73863,,,,2.73863,,,,,,,,,,2.73863,,2.73863,,2.73863,,2.51896,,,,,,,,,,,,2.73863,,,,,,,,,,,,,,,,,,,
enkoping,yes,SWE,wheat,0,0,0,0,0,0,0,1,14,13.66293,0,0.06831,0,0.06416,13.53046,0,0,0,6.5165,flatland,grasslands,hemiboreal_climate,rural_settlement,none,,,,,2.0424,,2.0424,,,,2.0424,,,,,,,,,,,,,,,,,,,,2.0424,,2.0424,,,,,,,,,,,,,,,,,,,,2.0424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5165,,,,,,2.0424,,,,2,,,,,,,,,,,,,,,,3.08314,,2.0424,,,,,,,,,,,,,,,,,,,,,,,,3.08314,,,,3.08314,,,,,,,,,,3.08314,,3.08314,,3.08314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
uppsala,yes,SWE,wheat,0,0,0,0,0,0,0,0,16,16.61142,0,0.38311,0,0.04152,16.18679,0,0,0,7.47432,flatland,farmland,hemiboreal_climate,rural_settlement,none,,,,,2.3426,,2.3426,,,,,,,,,,,,,,,,,,,,,,,,,,2.3426,,,,,,,,,,,,,,,,,,,,2.3426,,2.3426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.47432,,,,,,2.3426,,,,,,,,,,,,,,,,,,,,3.43057,,2.3426,,,,,,,,,,,,,,,,,,,,,,,,3.43057,,,,3.43057,,,,,,,,,,3.43057,,3.43057,,3.43057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
kastelholm,yes,SWE,fish,1,0,0,0,0,0,0,0,15.25,5.09219,0,0.02546,0,0.01272,5.05401,0,0,0,6.85591,flatland,grasslands,hemiboreal_climate,rural_settlement,none,,,,,2.14877,,2.14877,,,,2.14877,,,,,,,,,,,,,,,,,,,,6.85591,,2.14877,,,,,,,,,,,,,,,,,,,,2.14877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14877,,,,,,2.14877,,,,,,,,,,,,,,,,,,,,,,2.14877,,,,2.7796,,,,,,,,,,,,,,,,,,,,2.7796,,,,2.7796,,,,,,,,,,2.7796,,2.7796,,2.7796,,3.09764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tierp,yes,SWE,fish,1,1,0,0,1,0,0,0,14,8.96411,0,0.04482,0,0.0224,8.89689,0,0,0,6.5165,flatland,woods,hemiboreal_climate,rural_settlement,3,,,,,2.0424,,2.0424,,,,2.0424,,,,,,,,,,,,,,,,,,,,6.5165,,2.0424,,,,,,,,,,,,,,,,,,,,,,2.0424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0424,,,,,,,,,,,,3.8482,,,,,,,,,,,,,,,,,,3.8482,,3.8482,,,,,,,,,,,,,,,,,,3.8482,,,,2.8482,,,,,,,,,,2.8482,,2.8482,,2.8482,,2.92744,,,,,,,,,,,,3.8482,,,,,,,,,,,,,,,,,,,
heby,yes,SWE,lumber,0,1,0,0,1,0,0,0,16,7.9494,0,0.03974,0,0.01987,7.88979,0,0,0,7.05954,flatland,grasslands,hemiboreal_climate,rural_settlement,3,,,,,2.2126,,2.2126,,,,2.2126,,,,,,,,,,,,,,,,,,,,1,,2.2126,,,,,,,,,,,,,,,,,,,,2.2126,,7.05954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2126,,,,,,2.2126,,,,,,,,3.99747,,,,,,,,,,,,3.99747,,2.2126,,,,,,,,,,,,,,,,,,,,,,,,3.99747,,,,2.99747,,,,,,,,,,2.99747,,2.99747,,2.99747,,,,,,,,,,,,,,3.99747,,,,,,,,,,,,,,,,,,,
nykoping,yes,SWE,fish,1,0,0,0,0,0,0,0,15.25,11.76467,0,0.07058,0,0.05117,11.64292,0,0,0,6.85591,flatland,grasslands,hemiboreal_climate,rural_settlement,none,,,,,2.14877,,2.14877,,,,2.14877,,,,,,,,,,,,,,,,,,,,6.85591,,2.14877,,,,,,,,,,,,,,,,,,,,2.14877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.14877,,,,,,2.14877,,,,,,,,,,,,,,,,,,,,,,2.14877,,,,3.11323,,,,,,,,,,,,,,,,,,,,3.11323,,,,3.11323,,,,,,,,,,3.11323,,3.11323,,3.11323,,3.09764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kolmarden,yes,SWE,marble,1,0,0,0,0,0,0,0,11,9.01006,0,0.04505,0,0.02252,8.94249,0,0,0,5.70195,flatland,forest,hemiboreal_climate,rural_settlement,none,,,,,1.7871,,,,,,1.7871,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,,,,,,,,,,,,,,,,,1.7871,,5.70195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7871,,,,,,,,,,,,2.5505,,,,,,,,,,,,,,,,,,2.5505,,2.5505,,,,,,,,,,,,,,,,,,2.5505,,,,2.5505,,,,,,,,,,2.5505,,2.5505,,2.5505,,2.51896,,,,,,,,,,,,2.5505,,,,,,,,,,,,,,,,,,,
strangnas,yes,SWE,sand,0,0,0,0,0,0,0,1,12,9.46909,0,0.44742,0,0.02366,8.99801,0,0,0,5.97346,flatland,woods,hemiboreal_climate,rural_settlement,none,,,,,,,1.8722,,,,1.8722,,,,,,,,,,,,,,,,,,,,1.8722,,1.8722,,,,,,,,,,,,,,,,,,,,,,1.8722,,,,,,,,,,,,,,,,,,,,5.97346,,,,,,,,,,,,,,,,,,1.8722,,,,,,,,2,,,,2.67345,,,,,,,,,,,,,,,,,,,,2.67345,,,,,,,,,,,,,,,,,,2.67345,,,,2.67345,,,,,,,,,,2.67345,,2.67345,,2.67345,,,,,,,,,,,,,,2.67345,,,,,,,,,,,,,,,,,,,
